sector,avg_weighted_risk,sentiment_nss,impact_weighted_sentiment,confidence_weighted_sentiment,composite_sentiment_index,sentiment_velocity,risk_level,avg_impact,total_mentions,positive_count,negative_count,neutral_count,momentum_score,divergence,divergence_flag,govt_signals,contrarian_count,geopolitical_flags,valence,arousal,sector_classification,investment_signal,dynamic_sector_weight
Banking,40.0,0.0,2.9,2.5,2.1,0.0,MEDIUM,7.0,5,2,2,1,0.0,2.9,Normal,0,0,2,0.48,0.5,Monitor Risk,NEUTRAL,1.5
Energy,33.3,33.3,34.9,32.0,33.8,0.0,MEDIUM,7.2,6,4,2,0,33.3,1.6,Normal,0,0,3,0.53,0.5,Monitor Risk,IMPROVING,1.4
FMCG,0.0,75.0,77.8,77.8,77.1,0.0,LOW,6.8,4,3,0,1,75.0,2.8,Normal,0,0,0,0.62,0.5,Low Priority,BUY BIAS,1.0
Fintech,0.0,100.0,100.0,100.0,100.0,0.0,LOW,7.7,6,6,0,0,100.0,0.0,Normal,0,0,0,0.73,0.6,Opportunity,BUY BIAS,1.2
Healthcare,0.0,100.0,100.0,100.0,100.0,0.0,LOW,8.0,2,2,0,0,100.0,0.0,Normal,0,0,0,0.7,0.6,Opportunity,BUY BIAS,1.1
IT,0.0,91.7,93.2,92.7,92.7,0.0,LOW,7.3,12,11,0,1,91.7,1.5,Normal,0,1,3,0.62,0.54,Opportunity,BUY BIAS,1.2
Manufacturing,11.0,71.4,73.6,74.4,73.2,0.0,LOW,7.6,7,6,1,0,71.4,2.2,Normal,0,0,2,0.66,0.6,Watch Closely,BUY BIAS,1.1
Other,14.6,31.0,34.5,34.3,33.6,0.0,LOW,6.8,42,23,10,9,28.6,3.5,Normal,0,2,13,0.54,0.5,Monitor Risk,BUY BIAS,0.7
Retail,0.0,100.0,100.0,100.0,100.0,0.0,LOW,7.3,7,7,0,0,100.0,0.0,Normal,0,0,0,0.77,0.6,Opportunity,BUY BIAS,0.8
Startup,15.8,25.0,28.6,25.4,26.9,0.0,LOW,7.0,4,2,1,1,25.0,3.6,Normal,0,1,0,0.5,0.45,Monitor Risk,IMPROVING,0.9
